step,epoch,t,sample_loss,batch_loss
2958,2,-1,,0.053600
2963,2,-1,,0.046900
2968,2,-1,,0.061200
2973,2,-1,,0.062300
2978,2,-1,,0.050100
2983,2,-1,,0.054400
2988,2,-1,,0.338500
2993,2,-1,,0.047400
2998,2,-1,,0.064100
3003,2,-1,,0.149700
3008,2,-1,,0.066100
3013,2,-1,,0.041100
3018,2,-1,,0.073900
3023,2,-1,,0.050200
3028,2,-1,,0.091700
3033,2,-1,,0.046200
3038,2,-1,,0.072500
3043,2,-1,,0.046500
3048,2,-1,,0.184000
3053,2,-1,,0.073500
3058,2,-1,,0.042300
3063,2,-1,,0.044700
3068,2,-1,,0.045500
3073,2,-1,,0.227900
3078,2,-1,,0.047500
3083,2,-1,,0.105500
3088,2,-1,,0.052800
3093,2,-1,,0.066600
3098,2,-1,,0.295400
3103,2,-1,,0.085600
3108,2,-1,,0.077300
3113,2,-1,,0.048600
3118,2,-1,,0.050800
3123,2,-1,,0.302800
3128,2,-1,,0.040000
3133,2,-1,,0.051000
3137,2,-1,,0.046900
3141,2,-1,,0.051500
3146,2,-1,,0.065500
3151,2,-1,,0.042900
3156,2,-1,,0.056100
3160,2,-1,,0.173400
3165,2,-1,,0.092800
3169,2,-1,,0.045400
3173,2,-1,,0.047500
3177,2,-1,,0.039300
3182,2,-1,,0.049100
3187,2,-1,,0.063000
3192,2,-1,,0.047200
3197,2,-1,,0.075500
3202,2,-1,,0.044000
3207,2,-1,,0.048500
3212,2,-1,,0.147000
3217,2,-1,,0.037900
3222,2,-1,,0.081800
3227,2,-1,,0.335600
3232,2,-1,,0.063800
3237,2,-1,,0.042000
3242,2,-1,,0.058200
3247,2,-1,,0.146400
3252,2,-1,,0.047900
3257,2,-1,,0.067400
3262,2,-1,,0.048600
3267,2,-1,,0.050700
3272,2,-1,,0.384500
3277,2,-1,,0.044600
3282,2,-1,,0.096700
3287,2,-1,,0.164700
3292,2,-1,,0.044000
3297,2,-1,,0.131400
3302,2,-1,,0.036200
3307,2,-1,,0.123800
3312,2,-1,,0.043000
3317,2,-1,,0.230600
3322,2,-1,,0.041700
3327,2,-1,,0.050300
3332,2,-1,,0.125900
3337,2,-1,,0.051800
3342,2,-1,,0.040100
3347,2,-1,,0.061300
3352,2,-1,,0.163400
3357,2,-1,,0.306900
3362,2,-1,,0.043600
3367,2,-1,,0.049700
3372,2,-1,,0.050300
3377,2,-1,,0.040300
3382,2,-1,,0.124400
3387,2,-1,,0.038600
3392,2,-1,,0.041700
3397,2,-1,,0.064300
3402,2,-1,,0.081900
3407,2,-1,,0.050300
3412,2,-1,,0.035500
3417,2,-1,,0.076200
3422,2,-1,,0.061500
3427,2,-1,,0.044400
3432,2,-1,,0.040900
3437,2,-1,,0.037500
3442,2,-1,,0.038400
3447,2,-1,,0.041600
3452,2,-1,,0.044400
3457,2,-1,,0.048000
3462,2,-1,,0.038700
3467,2,-1,,0.088100
3472,2,-1,,0.049800
3477,2,-1,,0.062500
3482,2,-1,,0.091300
3487,2,-1,,0.050600
3492,2,-1,,0.055200
3497,2,-1,,0.061900
3502,2,-1,,0.044500
3507,2,-1,,0.059800
3512,2,-1,,0.050600
3517,2,-1,,0.061600
3522,2,-1,,0.196500
3527,2,-1,,0.069800
3532,2,-1,,0.110100
3537,2,-1,,0.086300
3542,2,-1,,0.054200
3547,2,-1,,0.049900
3552,2,-1,,0.041100
3557,2,-1,,0.033700
3562,2,-1,,0.078900
3567,2,-1,,0.070000
3572,2,-1,,0.084800
3577,2,-1,,0.076300
3582,2,-1,,0.038300
3587,2,-1,,0.059000
3592,2,-1,,0.054500
3597,2,-1,,0.043000
3602,2,-1,,0.047500
3607,2,-1,,0.059100
3612,2,-1,,0.042300
3617,2,-1,,0.046200
3622,2,-1,,0.079200
3627,2,-1,,0.076700
3632,2,-1,,0.165900
3637,2,-1,,0.057000
3642,2,-1,,0.044900
3647,2,-1,,0.061900
3652,2,-1,,0.064800
3657,2,-1,,0.043700
3662,2,-1,,0.052300
3667,2,-1,,0.046000
3672,2,-1,,0.051200
3677,2,-1,,0.043100
3682,2,-1,,0.039800
3687,2,-1,,0.070200
3692,2,-1,,0.035000
3697,2,-1,,0.114200
3702,2,-1,,0.085500
3707,2,-1,,0.157700
3712,2,-1,,0.050300
3717,2,-1,,0.210600
3722,2,-1,,0.046600
3727,2,-1,,0.040400
3732,2,-1,,0.040700
3737,2,-1,,0.049000
3742,2,-1,,0.059300
3747,2,-1,,0.041700
3752,2,-1,,0.052600
3757,2,-1,,0.052900
3762,2,-1,,0.055500
3767,2,-1,,0.039600
3772,2,-1,,0.272100
3777,2,-1,,0.136000
3782,2,-1,,0.069500
3787,2,-1,,0.079600
3792,2,-1,,0.050800
3797,2,-1,,0.197300
3802,2,-1,,0.118300
3807,2,-1,,0.041500
3812,2,-1,,0.049800
3817,2,-1,,0.049900
3822,2,-1,,0.149000
3827,2,-1,,0.061900
3832,2,-1,,0.143700
3837,2,-1,,0.044300
3842,2,-1,,0.052500
3847,2,-1,,0.246800
3852,2,-1,,0.452100
3857,2,-1,,0.036500
3862,2,-1,,0.094200
3867,2,-1,,0.059300
3872,2,-1,,0.040900
3877,2,-1,,0.058300
3882,2,-1,,0.043600
3887,2,-1,,0.060700
3892,2,-1,,0.052100
3897,2,-1,,0.068600
3902,2,-1,,0.048200
3907,2,-1,,0.042800
3912,2,-1,,0.047700
3917,2,-1,,0.038600
3922,2,-1,,0.047200
3927,2,-1,,0.039600
3932,2,-1,,0.069100
3937,2,-1,,0.061100
3942,2,-1,,0.037000
3947,2,-1,,0.051700
3952,2,-1,,0.049200
3957,2,-1,,0.170400
3962,2,-1,,0.186400
3967,2,-1,,0.042800
3972,2,-1,,0.059100
3977,2,-1,,0.043500
3982,2,-1,,0.093900
3987,2,-1,,0.034500
3992,2,-1,,0.057900
3997,2,-1,,0.032900
4002,2,-1,,0.131400
4007,2,-1,,0.041600
4012,2,-1,,0.041100
4017,2,-1,,0.040500
4022,2,-1,,0.046600
4027,2,-1,,0.101600
4032,2,-1,,0.035500
4037,2,-1,,0.044700
4042,2,-1,,0.076400
4047,2,-1,,0.040600
4052,2,-1,,0.039400
4057,2,-1,,0.242100
4062,2,-1,,0.063700
4067,2,-1,,0.111400
4072,2,-1,,0.045600
4077,2,-1,,0.051400
4082,2,-1,,0.037700
4087,2,-1,,0.049700
4092,2,-1,,0.035400
4097,2,-1,,0.045800
4102,2,-1,,0.095600
4107,2,-1,,0.073200
4112,2,-1,,0.046000
4117,2,-1,,0.048800
4122,2,-1,,0.067800
4127,2,-1,,0.061700
4132,2,-1,,0.065800
4137,2,-1,,0.037500
4142,2,-1,,0.037000
4147,2,-1,,0.037400
4152,2,-1,,0.043500
4157,2,-1,,0.154900
4162,2,-1,,0.165700
4167,2,-1,,0.034000
4172,2,-1,,0.044900
4177,2,-1,,0.039400
4182,2,-1,,0.041000
4187,2,-1,,0.168700
4192,2,-1,,0.043500
4197,2,-1,,0.038100
4202,2,-1,,0.039100
4207,2,-1,,0.047700
4212,2,-1,,0.058000
4217,2,-1,,0.038700
4222,2,-1,,0.033800
4227,2,-1,,0.034300
4232,2,-1,,0.041600
4237,2,-1,,0.051100
4242,2,-1,,0.045800
4247,2,-1,,0.038400
4252,2,-1,,0.146100
4257,2,-1,,0.042000
4262,2,-1,,0.084500
4267,2,-1,,0.044900
4272,2,-1,,0.056200
4277,2,-1,,0.080700
4282,2,-1,,0.056300
4287,2,-1,,0.111400
4292,2,-1,,0.051000
4297,2,-1,,0.058600
4302,2,-1,,0.037100
4307,2,-1,,0.054100
4312,2,-1,,0.076900
4317,2,-1,,0.035100
4322,2,-1,,0.050100
4327,2,-1,,0.038200
4332,2,-1,,0.076000
4337,2,-1,,0.292900
4342,2,-1,,0.081600
4347,2,-1,,0.294500
4352,2,-1,,0.045200
4357,2,-1,,0.277500
4362,2,-1,,0.085900
4367,2,-1,,0.105600
4372,2,-1,,0.226500
4377,2,-1,,0.041200
4382,2,-1,,0.192000
4387,2,-1,,0.047000
4392,2,-1,,0.034600
4397,2,-1,,0.035700
4402,2,-1,,0.043300
4407,2,-1,,0.032100
4412,2,-1,,0.049300
4417,2,-1,,0.065000
4422,2,-1,,0.308200
4427,2,-1,,0.063300
4432,2,-1,,0.040100
4437,2,-1,,0.038600
4442,2,-1,,0.043900
4447,2,-1,,0.084500
4452,2,-1,,0.045800
4457,2,-1,,0.039700
4462,2,-1,,0.124700
4467,2,-1,,0.035400
4472,2,-1,,0.039100
4477,2,-1,,0.158700
4482,2,-1,,0.038900
4487,2,-1,,0.034800
4492,2,-1,,0.044700
4497,2,-1,,0.104100
4502,2,-1,,0.038200
4507,2,-1,,0.134400
4512,2,-1,,0.335300
4517,2,-1,,0.041500
4522,2,-1,,0.165900
4527,2,-1,,0.041100
4532,2,-1,,0.086400
4537,2,-1,,0.034400
4542,2,-1,,0.045600
4547,2,-1,,0.051400
4552,2,-1,,0.039100
4557,2,-1,,0.053600
4562,2,-1,,0.075200
4567,2,-1,,0.087800
4572,2,-1,,0.036000
4577,2,-1,,0.125000
4582,2,-1,,0.084400
4587,2,-1,,0.046800
4592,2,-1,,0.042100
4597,2,-1,,0.041600
4602,2,-1,,0.049600
4607,2,-1,,0.033000
4612,2,-1,,0.157300
4617,2,-1,,0.045500
4622,2,-1,,0.038300
4627,2,-1,,0.043800
4632,2,-1,,0.038100
4637,2,-1,,0.163300
4642,2,-1,,0.056700
4647,2,-1,,0.030400
4652,2,-1,,0.061400
4657,2,-1,,0.045100
4662,2,-1,,0.060900
4667,2,-1,,0.044700
4672,2,-1,,0.034100
4677,2,-1,,0.058200
4682,2,-1,,0.061000
4687,2,-1,,0.043400
4692,2,-1,,0.033200
4697,2,-1,,0.033400
4702,2,-1,,0.143200
4707,2,-1,,0.059000
4712,2,-1,,0.061700
4717,2,-1,,0.030400
4722,2,-1,,0.039700
4727,2,-1,,0.065800
4732,2,-1,,0.047500
4737,2,-1,,0.046400
4742,2,-1,,0.102200
4747,2,-1,,0.072500
4752,2,-1,,0.048900
4757,2,-1,,0.039000
4762,2,-1,,0.038100
4767,2,-1,,0.034200
4772,2,-1,,0.040300
4777,2,-1,,0.050600
4782,2,-1,,0.065000
4787,2,-1,,0.038600
4792,2,-1,,0.032500
4797,2,-1,,0.040700
4802,2,-1,,0.404400
4807,2,-1,,0.030000
4812,2,-1,,0.045800
4817,2,-1,,0.042100
4822,2,-1,,0.035100
4827,2,-1,,0.041000
4832,2,-1,,0.298400
4837,2,-1,,0.071400
4842,2,-1,,0.073000
4847,2,-1,,0.356800
4852,2,-1,,0.166300
4857,2,-1,,0.036700
4862,2,-1,,0.089600
4867,2,-1,,0.059100
4872,2,-1,,0.049800
4877,2,-1,,0.324900
4882,2,-1,,0.091800
4887,2,-1,,0.093900
4892,2,-1,,0.034300
4897,2,-1,,0.040500
4902,2,-1,,0.032800
4907,2,-1,,0.032000
4912,2,-1,,0.043300
4917,2,-1,,0.062600
4922,2,-1,,0.094200
4927,2,-1,,0.049700
4932,2,-1,,0.054200
4937,2,-1,,0.037100
4942,2,-1,,0.186000
4947,2,-1,,0.050600
4952,2,-1,,0.070400
4957,2,-1,,0.377400
4962,2,-1,,0.379100
4967,2,-1,,0.036200
4972,2,-1,,0.040000
4977,2,-1,,0.040800
4982,2,-1,,0.036900
4987,2,-1,,0.052600
4992,2,-1,,0.057000
4997,2,-1,,0.053300
5002,2,-1,,0.042500
5007,2,-1,,0.075700
5012,2,-1,,0.061600
5017,2,-1,,0.042400
